location,population,positive_rate,case_rate_per_100k,mortality_rate_per_100k,testing_rate_per_1k,vaccination_rate_pct,hospitalization_rate_per_100k,icu_rate_per_100k,case_fatality_rate_pct,recent_case_growth,recent_death_growth,case_to_test_ratio,days_to_peak,peak_case_rate_per_100k,recovery_speed,days_to_50pct_vax,vax_acceleration
Aruba,106459,,41540.87489080303,274.28399665598965,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,0.66027496382055,0.0,0.0,0.0,658.0,5199.1846626400775,-0.10024424133606885,72.0,0.037493515700880733
Australia,26177410,,45310.67435624838,96.40373130878876,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,0.2127616343796362,0.0,0.0,0.0,714.0,2249.3172548391913,-45.548908169595,230.0,0.2342438577686844
Austria,8939617,,68039.20123199909,252.06896447577117,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,0.3704760783658674,2.0,0.0,0.0,749.0,3569.593641427815,-13.634674139852438,203.0,0.0777951210553596
Azerbaijan,10358078,,8068.649415461053,99.95097546089148,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,1.2387571985636974,10.238095238095237,0.0,0.0,714.0,455.1809708326198,-0.5183023472895425,209.0,0.101561577861197
Bahamas,409989,,9543.42677486469,207.07872650241836,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,2.1698571319038003,6.428571428571429,0.0,0.0,665.0,763.9229345177553,-0.03360498217518242,209.0,0.06243359822778838
Bahrain,1472237,,47316.70240593057,104.33102822439594,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,0.22049513790994724,0.0,0.0,0.0,707.0,3487.889517788237,-1.653183002526016,81.0,0.07480082521160496
Bangladesh,171186368,,1198.3127067688006,17.232096424874204,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,1.4380300173349427,5.523809523809524,0.047619047619047616,0.0,693.0,58.530361482989115,-1.4795454121735596,332.0,0.08769546412263098
Barbados,281646,,38552.65120044311,210.54799287048283,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,0.546131034609788,7.095238095238095,0.0,0.0,686.0,1517.1527378340186,-0.3121063682344398,228.0,0.06788704793391512
Belarus,9534956,,10425.18706955753,74.65162922618626,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,0.7160699249625517,0.0,0.0,0.0,714.0,566.0120508159661,-1.1726048987530084,359.0,0.10267715237423632
Belgium,11655923,,41805.603897692185,294.60558378774465,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,0.7047035715802874,207.76190476190476,0.0,0.0,721.0,2885.6402019814304,-8.560294368978193,204.0,0.05456685317965642
Belize,405285,,17620.686677276484,169.75708452076933,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,0.96339653289271,0.09523809523809523,0.0,0.0,665.0,1268.4900748855744,-0.13383641862515117,255.0,0.08758987245045695
Benin,13352864,,209.96244700762324,1.2207119012071117,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,0.5813953488372093,0.0,0.0,0.0,532.0,33.35613992623605,-0.050139934522219744,209.0,0.0482026598930835
Bermuda,64207,,29373.74429579329,256.9813260236423,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,0.8748674443266171,0.0,0.0,0.0,665.0,2102.5744856479823,-0.05351603133146847,107.0,0.12800158941673184
Bhutan,782457,,8012.8364881392845,2.683853553613809,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,0.03349442557060146,0.0,0.0,0.0,763.0,1378.350503605949,-0.15852661869230614,19.0,0.10568677700364547
Bolivia,12224114,,9916.031542245108,183.13801720108304,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,1.8468882074533863,0.09523809523809523,0.0,0.0,679.0,648.0469668394782,-1.6592966530994697,548.0,0.10586751837701139
Bonaire Sint Eustatius and Saba,27052,,44070.67869288777,151.5599585982552,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,0.3439020298607616,0.0,0.0,0.0,651.0,3848.14431465326,-0.03635087996885474,145.0,0.07965035055223063
Bosnia and Herzegovina,3233530,,12483.756142667611,506.9382377772899,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,4.060782924496984,0.3333333333333333,0.09523809523809523,0.0,686.0,533.4727062993076,-0.39387056034943346,209.0,0.07965035055223063
Botswana,2630300,,12572.558263315972,106.48975402045394,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,0.847001475675545,0.0,0.0,0.0,693.0,1590.312892065544,-0.1321651544999329,321.0,0.09240543907895025
Brazil,215313504,,17422.001083592044,326.09009047570004,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,1.8717143278266128,0.0,0.0,0.0,700.0,595.8864521567584,-60.87036670285526,258.0,0.1264493778387877
British Virgin Islands,31332,,24119.11145155113,204.2640112345206,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,0.8468969167659124,0.0,0.0,0.0,658.0,3344.8231839652753,-0.010379690251320036,154.0,0.07880316991851646
Brunei,449002,,77443.53031835047,39.866192132774465,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,0.051477756720147934,50.142857142857146,0.047619047619047616,0.0,721.0,6548.300453004665,-0.862496551409208,175.0,0.1938812269036728
Bulgaria,6781955,,19610.68747875797,570.6319195571189,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,2.909800689931037,22.333333333333332,0.0,0.0,693.0,911.6987653265173,-1.8574180764008663,209.0,0.021401420005079927
Burkina Faso,22673764,,97.64148555131825,1.7641534947616107,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,1.8067663399430869,0.0,0.0,0.0,665.0,8.83840900875567,-0.011338500406572102,209.0,0.03130905869259331
Burundi,12889583,,423.3573731593955,0.11637304325516194,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,0.02748813428869871,0.0,0.0,0.0,637.0,39.38839604043048,-0.09317944351448493,209.0,0.0004600908317146662
Cambodia,16767851,,830.8697399565395,18.22535278969261,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,2.193527085322174,0.6666666666666666,0.0,0.0,525.0,39.766574738766465,-0.30395736182369854,186.0,0.13769021598765832
Cameroon,27914542,,448.6765356924,7.071582976356911,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,1.576098238666305,0.23809523809523808,0.0,0.0,378.0,31.098486229865422,-0.22255160610201022,209.0,0.014919388282544497
Canada,38454328,,12531.892378928062,143.76015100302882,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,1.1471543694770032,39.61904761904762,0.38095238095238093,0.0,714.0,764.1090490516438,-10.090033398985431,209.0,0.12727880617610707
Cape Verde,593162,,10869.543227651131,70.3011993350889,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,0.6467723423395477,0.0,0.0,0.0,658.0,1245.35961507986,-0.0695684060148287,290.0,0.1343659060636268
Cayman Islands,68722,,45796.106050464194,53.840109426384565,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,0.1175648195221149,0.0,0.0,0.0,693.0,3122.726346730305,-0.08692036065284912,110.0,0.08979582140685734
Central African Republic,5579148,,276.76268849652314,2.0253988601843864,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,0.7318178874425232,0.0,0.0,0.0,399.0,21.99260532253312,-0.019750320233383554,209.0,0.0679903391380816
Chad,17723312,,43.456888870432344,1.0946035368558653,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,2.5188262788886004,0.0,0.0,0.0,623.0,3.3628026183819366,-0.010326799347328303,209.0,0.03906584969391919
Chile,19603736,,27551.513650255238,319.9900263908879,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,1.161424488153026,12.380952380952381,0.19047619047619047,0.0,714.0,1264.5548787231169,-12.984844616930413,160.0,0.10907631621276068
China,1425887360,,6969.219433995123,8.577395622610752,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,0.12307541330627521,294.1904761904762,1.4761904761904763,0.0,1085.0,2838.6167193459096,-615.3916416446405,0.0,0.03768969396642138
Colombia,51874028,,12321.919554810742,275.14154096535555,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,2.2329438180590486,142.76190476190476,0.0,0.0,686.0,405.1372297520447,-3.6702107561262514,272.0,0.14330992289474953
Comoros,836783,,1088.5737401452946,19.12084734034989,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,1.7565045559336918,0.0,0.0,0.0,609.0,147.23052452069413,-0.010927109941694099,209.0,0.07965035055223063
