case_rate_per_100k,mortality_rate_per_100k,testing_rate_per_1k,vaccination_rate_pct,hospitalization_rate_per_100k,icu_rate_per_100k,case_fatality_rate_pct,recent_case_growth,recent_death_growth,case_to_test_ratio,days_to_peak,peak_case_rate_per_100k,recovery_speed,days_to_50pct_vax,vax_acceleration,location,population
-0.9726426183099866,-0.8028063185561312,0.0,-0.07713465877250728,-0.06470810695055468,-0.04559705962504208,1.3984105113106278,-0.22171990491946578,-0.09092443880841043,0.0,-0.8054362460593919,-0.6022599215002349,0.1912821131623998,-0.09126576712310822,-0.7108864073472595,Afghanistan,41128772
-0.42398787659141457,0.014008085012826786,0.0,-0.07713465877250728,-0.06470810695055468,-0.04559705962504208,-0.09832929595615766,-0.22171990491946578,-0.09092443880841043,0.0,0.336818793806655,-0.45269382722013546,0.18668543204899013,-0.09126576712310822,-0.4327770128682049,Albania,2842318
-0.970971587075149,-0.8341607343721205,0.0,-0.07713465877250728,-0.06470810695055468,-0.04559705962504208,0.8370086321680474,-0.2019363048984076,-0.09092443880841043,0.0,0.4592032623637315,-0.6013948093713138,0.19347960561440372,-0.09126576712310822,-0.11513546891676103,Algeria,44903228
-0.07748561770242904,-0.36687633393983643,0.0,-0.07713465877250728,-0.06470810695055468,-0.04559705962504208,-0.5292689724676328,-0.22171990491946578,-0.09092443880841043,0.0,-2.518818805858462,0.6293821028861674,0.19568481904631183,-0.09126576712310822,-0.11513546891676103,American Samoa,44295
1.9411239711433341,0.56400073818788,0.0,-0.07713465877250728,-0.06470810695055468,-0.04559705962504208,-0.5779514419628734,-0.22171990491946578,-0.09092443880841043,0.0,0.336818793806655,0.6621038937074109,0.1942634677526853,-0.5504378978091798,-0.14349701337895318,Andorra,79843
-0.9858449815599017,-0.9093212048401964,0.0,-0.07713465877250728,-0.06470810695055468,-0.04559705962504208,0.36930819638407886,-0.22171990491946578,-0.09092443880841043,0.0,0.09204985669250212,-0.6017669705104272,0.19372513591913282,-0.09126576712310822,-1.1278427407530478,Angola,35588996
0.20221621338172788,-0.37582945634679604,0.0,-0.07713465877250728,-0.06470810695055468,-0.04559705962504208,-0.593257601161616,-0.22171990491946578,-0.09092443880841043,0.0,0.2144343252495786,-0.12715548116895103,0.1962422878919808,-1.2532523835531673,-0.9225378873655576,Anguilla,15877
-0.525590597103602,0.2335534215896656,0.0,-0.07713465877250728,-0.06470810695055468,-0.04559705962504208,0.2412664206136169,-0.22171990491946578,-0.09092443880841043,0.0,0.3776136166590139,-0.4156983520573601,0.19613879517309235,-0.5972921968587791,1.5396528583484872,Antigua and Barbuda,93772
0.08512793014924058,1.2330906446347036,0.0,-0.07713465877250728,-0.06470810695055468,-0.04559705962504208,0.04177228965451561,-0.14011255483260088,-0.07405855468756688,0.0,0.336818793806655,-0.11636285037664947,-0.14141193566125765,0.6865155971002377,-0.2821960653980882,Argentina,45510324
-0.20492328506441207,1.4503225160442057,0.0,-0.07713465877250728,-0.06470810695055468,-0.04559705962504208,0.4584703779254728,-0.22171990491946578,-0.09092443880841043,0.0,0.4592032623637315,-0.3638807123006783,0.18957266895232938,-0.09126576712310822,-0.7569907337080822,Armenia,2780472
1.0314587359287308,1.1355607509940016,0.0,-0.07713465877250728,-0.06470810695055468,-0.04559705962504208,-0.36601180127808397,-0.22171990491946578,-0.09092443880841043,0.0,0.2144343252495786,0.9076475088390562,0.19424582322861775,-1.375073561082125,-1.0553951377259805,Aruba,106459
1.2158680257687067,-0.21744617444429967,0.0,-0.07713465877250728,-0.06470810695055468,-0.04559705962504208,-0.654184443530791,-0.22171990491946578,-0.09092443880841043,0.0,0.5407929080684492,0.04600773283685355,-0.8076629217960366,0.10552228888520822,3.3328947356265486,Australia,26177410
2.3276914897711447,0.9665870184104433,0.0,-0.07713465877250728,-0.06470810695055468,-0.04559705962504208,-0.552625484154745,-0.20688220490367215,-0.09092443880841043,0.0,0.7447670223302433,0.43165308319831175,-0.10411858404310481,-0.1474909259826272,-0.15651422703377826,Austria,8939617
-0.6059199591054231,-0.190464845769938,0.0,-0.07713465877250728,-0.06470810695055468,-0.04559705962504208,0.006497223850727563,-0.14576501198147462,-0.09092443880841043,0.0,0.5407929080684492,-0.47804944403175287,0.18502979714379386,-0.09126576712310822,0.3735692311722815,Azerbaijan,10358078
-0.5337774889256277,0.624378716459417,0.0,-0.07713465877250728,-0.06470810695055468,-0.04559705962504208,0.6060716059750556,-0.17402729772584344,-0.09092443880841043,0.0,0.2552291481019374,-0.38786764273158514,0.19571487535786514,-0.09126576712310822,-0.4991353089339741,Bahamas,409989
1.3139979691335486,-0.15714894245014374,0.0,-0.07713465877250728,-0.06470810695055468,-0.04559705962504208,-0.6492045155608585,-0.22171990491946578,-0.09092443880841043,0.0,0.49999808521609035,0.4077877655216285,0.16001152917368217,-1.2907358227928465,-0.22329854868157417,Bahrain,1472237
-0.9419998819301193,-0.8196477176403596,0.0,-0.07713465877250728,-0.06470810695055468,-0.04559705962504208,0.1348173674902402,-0.18073959059013103,-0.08249149674798865,0.0,0.4184084395113727,-0.5939088692002695,0.16383934291346,1.0613499894970309,0.06430152743058132,Bangladesh,171186368
0.885282204876259,0.6507669243531897,0.0,-0.07713465877250728,-0.06470810695055468,-0.04559705962504208,-0.4395138748785848,-0.1690813977205789,-0.09092443880841043,0.0,0.3776136166590139,-0.16785342877359422,0.18957535551114943,0.08678056926536856,-0.37750239145733694,Barbados,281646
